id,title,description,link,image_link,availability,price,brand,condition,gtin,mpn,identifier_exists,google_product_category,product_type
ZC31,Zebra ZC300 Single-Sided Card Printer,"Single-sided direct-to-card dye-sublimation printer. 300 dpi, USB 2.0 & Ethernet, 100-card hopper.",https://nahamtech.org/product/zebra-zc300-single,https://img.nahamtech.org/products/card-printers/zebra-zc31.jpg,in_stock,2700.00 SAR,Zebra,new,,zc31,yes,Electronics > Print & Scan > Printers,Printers > Card Printers
ZC32,Zebra ZC300 Double-Sided Card Printer,"Dual-sided direct-to-card dye-sublimation printer. 300 dpi, USB 2.0 & Ethernet, 100-card hopper.",https://nahamtech.org/product/zebra-zc300-double,https://img.nahamtech.org/products/card-printers/zebra-zc31.jpg,in_stock,3800.00 SAR,Zebra,new,,zc32,yes,Electronics > Print & Scan > Printers,Printers > Card Printers
SMART-51S,SMART Single-Sided ID Card Printer,Single-sided smart card printer for ID cards and badges.,https://nahamtech.org/product/smart-51s,https://img.nahamtech.org/products/card-printers/smart-printer-1.png,in_stock,2800.00 SAR,IDP,new,,[653170] SMART-51S,yes,Electronics > Print & Scan > Printers,Printers > Card Printers
SMART-51D,SMART Dual-Sided ID Card Printer,Dual-sided smart card printer for ID cards and badges.,https://nahamtech.org/product/smart-51d,https://img.nahamtech.org/products/card-printers/smart-printer-1.png,in_stock,4200.00 SAR,IDP,new,,[653171] SMART-51D,yes,Electronics > Print & Scan > Printers,Printers > Card Printers
PM2-0001-M,Evolis Primacy 2 Single-Sided Card Printer,Single-sided card printer by Evolis for professional ID cards.,https://nahamtech.org/product/evolis-primacy2-single,https://img.nahamtech.org/products/card-printers/evolis-primacy-printer-1.jpg,out_of_stock,4800.00 SAR,Evolis,new,,PM2-0001-M,yes,Electronics > Print & Scan > Printers,Printers > Card Printers
PM2-0025-M,Evolis Primacy 2 Dual-Sided Card Printer,Dual-sided card printer by Evolis for professional ID cards.,https://nahamtech.org/product/evolis-primacy2-dual,https://img.nahamtech.org/products/card-printers/evolis-primacy-printer-1.jpg,out_of_stock,6000.00 SAR,Evolis,new,,PM2-0025-M,yes,Electronics > Print & Scan > Printers,Printers > Card Printers
Z72-000C0000EM00,Zebra ZXP Series 7 Dual-Sided Card Printer,Industrial dual-sided card printer with USB and Ethernet.,https://nahamtech.org/product/zebra-zxp7,https://img.nahamtech.org/products/card-printers/Zebra-ZXP-Series-7-Dual-Sided-Card-Printer.jpg,in_stock,7500.00 SAR,Zebra,new,,Z72-000C0000EM00,yes,Electronics > Print & Scan > Printers,Printers > Card Printers
ACL003,Evolis ACL003 Cleaning Cards,Cleaning cards for Evolis card printers. Maintains print quality.,https://nahamtech.org/product/evolis-acl003,https://img.nahamtech.org/products/card-printers/Evolis-ACL003-Cleaning-Cards.jpg,in_stock,50.00 SAR,Evolis,new,,ACL003,yes,Electronics > Print & Scan > Printer Accessories,Accessories > Cleaning Cards
R5F208M100,Evolis Primacy 2 YMCKO Color Ribbon 200 prints,"Color ribbon for Evolis Primacy 2 card printer, 200 prints.",https://nahamtech.org/product/evolis-primacy2-ribbon-color,https://img.nahamtech.org/products/card-printers/Evolis-Primacy-2-YMCKO-Color-Ribbon.jpg,in_stock,280.00 SAR,Evolis,new,,RCT223NAAA-R5F202M100-R5F208M100,yes,Electronics > Print & Scan > Printer Accessories,Accessories > Ink & Ribbons
659366,IDP SMART YMCKO Color Ribbon 250 prints,"Color ribbon for IDP SMART card printers, 250 prints.",https://nahamtech.org/product/smart-ribbon-color,https://img.nahamtech.org/products/card-printers/IDP-Smart-YMCKO-Color-Ribbon-250-prints.jpg,in_stock,220.00 SAR,IDP,new,,659366,yes,Electronics > Print & Scan > Printer Accessories,Accessories > Ink & Ribbons
800077-740EM,Zebra ZXP7 YMCKO Color Ribbon 250 prints,Color ribbon for Zebra ZXP Series 7 card printer.,https://nahamtech.org/product/zebra-zxp7-ribbon-color,https://img.nahamtech.org/products/card-printers/Zebra-ZXP7-YMCKO-Color-Ribbon-250-prints.jpg,in_stock,250.00 SAR,Zebra,new,,800077-740EM_800077-701,yes,Electronics > Print & Scan > Printer Accessories,Accessories > Ink & Ribbons
800033-840,Zebra ZXP3 YMCKO Color Ribbon 200 prints,"Color ribbon for Zebra ZXP3 card printer, 200 prints.",https://nahamtech.org/product/zebra-zxp3-ribbon,https://img.nahamtech.org/products/card-printers/Zebra-ZXP3-YMCKO-200-prints.jpg,in_stock,170.00 SAR,Zebra,new,,800033-840,yes,Electronics > Print & Scan > Printer Accessories,Accessories > Ink & Ribbons
800300-250EM,Zebra ZC100/ZC300 YMCKO Ribbon 200 prints,Color and monochrome ribbon for Zebra ZC100 and ZC300 series.,https://nahamtech.org/product/zebra-zc-ribbon-color,https://img.nahamtech.org/products/card-printers/Zebra-ZC100-ZC300-YMCKO-200-prints.jpg,in_stock,170.00 SAR,Zebra,new,,800300-250EM,yes,Electronics > Print & Scan > Printer Accessories,Accessories > Ink & Ribbons
800300-301EM,Zebra ZC100/ZC300 Black Monochrome Ribbon,Black monochrome ribbon for Zebra ZC100 and ZC300 series.,https://nahamtech.org/product/zebra-zc-ribbon-mono,https://img.nahamtech.org/products/card-printers/Zebra-ZC100-ZC300-YMCKO-200-prints-black.png,in_stock,160.00 SAR,Zebra,new,,800300-301EM,yes,Electronics > Print & Scan > Printer Accessories,Accessories > Ink & Ribbons
PVC-CARD,Blank White PVC Cards CR80 (250 pcs),"Pack of 250 blank white PVC cards, CR80 size, for card printers.",https://nahamtech.org/product/pvc-cards-250,https://img.nahamtech.org/products/accessories/Blank-White-PVC-Cards-CR80.jpg,in_stock,115.00 SAR,,new,,PVC-CARD,yes,Electronics > Print & Scan > Printer Accessories,Accessories > Cards
S50-S70,Mifare RFID Smart Cards 1K S50 / 4K S70 (10 pcs),Pack of 10 Mifare RFID contactless smart cards.,https://nahamtech.org/product/mifare-rfid-cards,https://img.nahamtech.org/products/accessories/Mifare-RFID-Cards-1K-S50-4K-S70.jpg,in_stock,40.00 SAR,,new,,S50-S70,yes,Electronics > Access Control,Accessories > NFC Cards
104523-111,Zebra Blank White PVC Card 30 mil,"Zebra-branded blank white PVC cards, 30 mil thickness.",https://nahamtech.org/product/zebra-pvc-card,https://img.nahamtech.org/products/accessories/Blank-White-PVC-Cards-CR80.jpg,in_stock,60.00 SAR,Zebra,new,,104523-111,yes,Electronics > Print & Scan > Printer Accessories,Accessories > Cards
TM-TAG03-4100,ZKTeco RFID EM Keyfob 125KHz TK4100 (10 pcs),"Pack of 10 RFID EM keyfobs, 125KHz TK4100, for access control.",https://nahamtech.org/product/zkteco-keyfob-tk4100,https://img.nahamtech.org/products/accessories/TK4100-Proximity-ID-Cards-and-Keyfobs.jpg,in_stock,60.00 SAR,ZKTeco,new,,TM-TAG03-4100,yes,Electronics > Access Control,Accessories > NFC Cards
105999-701,Zebra ZXP Series 7 Cleaning Kit,Cleaning kit for Zebra ZXP Series 7 card printer.,https://nahamtech.org/product/zebra-zxp7-cleaning,https://img.nahamtech.org/products/card-printers/Zebra-ZXP-Series-7-Cleaning-Kit.jpg,in_stock,100.00 SAR,Zebra,new,,105999-701,yes,Electronics > Print & Scan > Printer Accessories,Accessories > Cleaning Cards
800077-701,Zebra ix Series Monochrome Ribbon for ZXP 7,Black monochrome ribbon for Zebra ZXP Series 7.,https://nahamtech.org/product/zebra-zxp7-mono-ribbon,https://img.nahamtech.org/products/card-printers/Zebra-ix-Series-monochrome-ribbon-for-ZXP-Series-7.jpg,in_stock,180.00 SAR,Zebra,new,,800077-701,yes,Electronics > Print & Scan > Printer Accessories,Accessories > Ink & Ribbons
105999-311,Zebra ZC Series Cleaning Cards,Cleaning cards for Zebra ZC series card printers.,https://nahamtech.org/product/zebra-zc-cleaning,https://img.nahamtech.org/products/card-printers/Zebra-ZC-Series-Cleaning-Cards.jpg,in_stock,100.00 SAR,Zebra,new,,105999-311,yes,Electronics > Print & Scan > Printer Accessories,Accessories > Cleaning Cards
